top - 21:23:06 up  6:02,  1 user,  load average: 1.33, 0.68, 0.25
任务: 289 total,   1 running, 288 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.9 us, 15.8 sy,  0.0 ni, 55.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3877.9 total,    635.1 free,   1734.2 used,   1508.6 buff/cache
MiB Swap:    923.3 total,    923.3 free,      0.0 used.   1824.3 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
    261 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    263 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    265 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    293 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    316 root      20   0       0      0      0 S   0.0   0.0   0:00.71 jbd2/sd+
    317 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    356 root      19  -1   52568  20152  18316 S   0.0   0.5   0:01.48 systemd+
    384 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
    385 root     -51   0       0      0      0 S   0.0   0.0   0:00.64 irq/16-+
    387 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    388 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    389 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    390 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    391 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    392 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    393 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    394 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    400 root      20   0   24936   7544   4044 S   0.0   0.2   0:00.50 systemd+
